ISTANTE,Anno,Mese,Giorno,Data,VM
202007020000,2020,07,02,2020/07/02,2.9
202007030000,2020,07,03,2020/07/03,3.7
202007040000,2020,07,04,2020/07/04,2.1
202007050000,2020,07,05,2020/07/05,1.9
202007060000,2020,07,06,2020/07/06,2.8
202007070000,2020,07,07,2020/07/07,4.3
202007080000,2020,07,08,2020/07/08,1.6
202007090000,2020,07,09,2020/07/09,1.9
202007100000,2020,07,10,2020/07/10,2.0
202007110000,2020,07,11,2020/07/11,3.1
202007120000,2020,07,12,2020/07/12,2.3
202007130000,2020,07,13,2020/07/13,2.5
202007140000,2020,07,14,2020/07/14,1.8
202007150000,2020,07,15,2020/07/15,2.4
202007160000,2020,07,16,2020/07/16,2.3
202007170000,2020,07,17,2020/07/17,2.8
202007180000,2020,07,18,2020/07/18,2.2
202007190000,2020,07,19,2020/07/19,1.6
202007200000,2020,07,20,2020/07/20,1.8
202007210000,2020,07,21,2020/07/21,2.8
202007220000,2020,07,22,2020/07/22,2.9
202007230000,2020,07,23,2020/07/23,2.4
202007240000,2020,07,24,2020/07/24,3.2
202007250000,2020,07,25,2020/07/25,2.1
202007260000,2020,07,26,2020/07/26,2.3
202007270000,2020,07,27,2020/07/27,2.1
202007280000,2020,07,28,2020/07/28,1.9
202007290000,2020,07,29,2020/07/29,2.2
202007300000,2020,07,30,2020/07/30,1.9
202007310000,2020,07,31,2020/07/31,3.0
202008010000,2020,08,01,2020/08/01,2.4
202008020000,2020,08,02,2020/08/02,2.6
202008030000,2020,08,03,2020/08/03,2.9
202008040000,2020,08,04,2020/08/04,6.3
202008050000,2020,08,05,2020/08/05,3.4
202008060000,2020,08,06,2020/08/06,2.1
202008070000,2020,08,07,2020/08/07,2.2
202008080000,2020,08,08,2020/08/08,2.9
202008090000,2020,08,09,2020/08/09,2.6
202008100000,2020,08,10,2020/08/10,2.1
202008110000,2020,08,11,2020/08/11,2.7
202008120000,2020,08,12,2020/08/12,2.2
202008130000,2020,08,13,2020/08/13,2.2
202008140000,2020,08,14,2020/08/14,3.4
202008150000,2020,08,15,2020/08/15,2.6
202008160000,2020,08,16,2020/08/16,2.1
202008170000,2020,08,17,2020/08/17,2.1
202008180000,2020,08,18,2020/08/18,2.1
202008190000,2020,08,19,2020/08/19,2.2
202008200000,2020,08,20,2020/08/20,1.8
202008210000,2020,08,21,2020/08/21,1.6
202008220000,2020,08,22,2020/08/22,2.6
202008230000,2020,08,23,2020/08/23,4.1
202008240000,2020,08,24,2020/08/24,2.6
202008250000,2020,08,25,2020/08/25,1.9
202008260000,2020,08,26,2020/08/26,1.9
202008270000,2020,08,27,2020/08/27,2.0
202008280000,2020,08,28,2020/08/28,2.8
202008290000,2020,08,29,2020/08/29,2.8
202008300000,2020,08,30,2020/08/30,3.0
202008310000,2020,08,31,2020/08/31,2.4
202009010000,2020,09,01,2020/09/01,1.4
202009020000,2020,09,02,2020/09/02,2.8
202009030000,2020,09,03,2020/09/03,2.8
202009040000,2020,09,04,2020/09/04,2.3
202009050000,2020,09,05,2020/09/05,2.0
202009060000,2020,09,06,2020/09/06,2.1
202009070000,2020,09,07,2020/09/07,4.0
202009080000,2020,09,08,2020/09/08,2.3
202009090000,2020,09,09,2020/09/09,2.2
202009100000,2020,09,10,2020/09/10,1.8
202009110000,2020,09,11,2020/09/11,2.1
202009120000,2020,09,12,2020/09/12,2.1
202009130000,2020,09,13,2020/09/13,2.3
202009140000,2020,09,14,2020/09/14,2.8
202009150000,2020,09,15,2020/09/15,2.8
202009160000,2020,09,16,2020/09/16,2.6
202009170000,2020,09,17,2020/09/17,3.3
202009180000,2020,09,18,2020/09/18,2.2
202009190000,2020,09,19,2020/09/19,1.2
202009200000,2020,09,20,2020/09/20,1.5
202009210000,2020,09,21,2020/09/21,1.8
202009220000,2020,09,22,2020/09/22,1.8
202009230000,2020,09,23,2020/09/23,1.1
202009240000,2020,09,24,2020/09/24,2.1
202009250000,2020,09,25,2020/09/25,4.2
202009260000,2020,09,26,2020/09/26,2.7
202009270000,2020,09,27,2020/09/27,3.1
202009280000,2020,09,28,2020/09/28,1.6
202009290000,2020,09,29,2020/09/29,1.9
202009300000,2020,09,30,2020/09/30,2.0
202010010000,2020,10,01,2020/10/01,1.5
202010020000,2020,10,02,2020/10/02,4.3
202010030000,2020,10,03,2020/10/03,3.5
202010040000,2020,10,04,2020/10/04,2.4
202010050000,2020,10,05,2020/10/05,1.4
202010060000,2020,10,06,2020/10/06,1.8
202010070000,2020,10,07,2020/10/07,1.8
202010080000,2020,10,08,2020/10/08,2.6
202010090000,2020,10,09,2020/10/09,2.1
202010100000,2020,10,10,2020/10/10,2.2
202010110000,2020,10,11,2020/10/11,8.3
202010120000,2020,10,12,2020/10/12,3.7
202010130000,2020,10,13,2020/10/13,3.3
202010140000,2020,10,14,2020/10/14,2.6
202010150000,2020,10,15,2020/10/15,4.3
202010160000,2020,10,16,2020/10/16,1.4
202010170000,2020,10,17,2020/10/17,1.3
202010180000,2020,10,18,2020/10/18,1.4
202010190000,2020,10,19,2020/10/19,1.6
202010200000,2020,10,20,2020/10/20,1.8
202010210000,2020,10,21,2020/10/21,1.4
202010220000,2020,10,22,2020/10/22,1.3
202010230000,2020,10,23,2020/10/23,0.5
202010240000,2020,10,24,2020/10/24,1.1
202010250000,2020,10,25,2020/10/25,1.6
202010260000,2020,10,26,2020/10/26,2.4
202010270000,2020,10,27,2020/10/27,2.9
202010280000,2020,10,28,2020/10/28,3.4
202010290000,2020,10,29,2020/10/29,2.8
202010300000,2020,10,30,2020/10/30,1.9
202010310000,2020,10,31,2020/10/31,1.4
202011010000,2020,11,01,2020/11/01,1.4
202011020000,2020,11,02,2020/11/02,1.2
202011030000,2020,11,03,2020/11/03,0.6
202011040000,2020,11,04,2020/11/04,0.6
202011050000,2020,11,05,2020/11/05,0.9
202011060000,2020,11,06,2020/11/06,1.3
202011070000,2020,11,07,2020/11/07,2.7
202011080000,2020,11,08,2020/11/08,2.4
202011090000,2020,11,09,2020/11/09,2.8
202011100000,2020,11,10,2020/11/10,2.7
202011110000,2020,11,11,2020/11/11,1.2
202011120000,2020,11,12,2020/11/12,0.8
202011130000,2020,11,13,2020/11/13,1.9
202011140000,2020,11,14,2020/11/14,1.9
202011150000,2020,11,15,2020/11/15,1.8
202011160000,2020,11,16,2020/11/16,1.5
202011170000,2020,11,17,2020/11/17,1.9
202011180000,2020,11,18,2020/11/18,2.5
202011190000,2020,11,19,2020/11/19,2.1
202011200000,2020,11,20,2020/11/20,3.8
202011210000,2020,11,21,2020/11/21,1.6
202011220000,2020,11,22,2020/11/22,2.4
202011230000,2020,11,23,2020/11/23,1.8
202011240000,2020,11,24,2020/11/24,2.4
202011250000,2020,11,25,2020/11/25,2.1
202011260000,2020,11,26,2020/11/26,2.1
202011270000,2020,11,27,2020/11/27,2.1
202011280000,2020,11,28,2020/11/28,2.5
202011290000,2020,11,29,2020/11/29,2.6
202011300000,2020,11,30,2020/11/30,1.6
